species,decimalLatitude,decimalLongitude
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.286,145.5743
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2812,145.5753
Alectura lathami,-17.2879,145.5707
